Summary, degree of truth, degree of imprecision, degree of covering, degree of appropriateness, length of summary, degree of quantifier imprecision, degree of quantifier cardinality, degree of summarizer cardinality, degree of qualifier imprecision, degree of qualifier cardinality, length of qualifier, T
AROUND_HALF  countries from north america compare to countries from europe have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have small Oil production and small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production compare to countries from europe have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production compare to countries from north america have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having average Annual change in oil production have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having average Annual change in oil production compare to countries from north america have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having average Annual change in oil production have small Oil production and small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having average Annual change in oil production compare to countries from north america have small Oil production and small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production and average Annual change in oil production have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production and average Annual change in oil production compare to countries from north america have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have small Oil production and small Gas production per capita and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have small Gas production per capita and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production have small Gas production per capita and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production have small Gas production per capita and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production compare to countries from europe have small Gas production per capita and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production compare to countries from north america have small Gas production per capita and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having average Annual change in oil production have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having average Annual change in oil production compare to countries from europe have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having average Annual change in oil production have small Oil production and small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having average Annual change in oil production compare to countries from europe have small Oil production and small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and average Annual change in oil production have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and average Annual change in oil production compare to countries from europe have small Gas production per capita, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have small Oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have small Oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita and average Annual change in oil production have small Oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita and average Annual change in oil production compare to countries from europe have small Oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have small Oil production and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have small Oil production and average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and small Gas production per capita have average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and small Gas production per capita compare to countries from europe have average Annual change in oil production, 1.0, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production compare to countries from north america have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production compare to countries from north america have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production compare to countries from north america have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production and small Gas production per capita and average Annual change in oil production compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having average Annual change in oil production compare to countries from north america have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having average Annual change in oil production compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having average Annual change in oil production have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having average Annual change in oil production compare to countries from north america have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having average Annual change in oil production have average Coal production per capita and small Oil production and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having average Annual change in oil production compare to countries from north america have average Coal production per capita and small Oil production and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production and average Annual change in oil production compare to countries from north america have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production and average Annual change in oil production compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Gas production per capita and average Annual change in oil production compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita and average Annual change in oil production have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Gas production per capita and average Annual change in oil production compare to countries from north america have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Gas production per capita compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have average Coal production per capita and small Oil production and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Gas production per capita compare to countries from north america have average Coal production per capita and small Oil production and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Gas production per capita compare to countries from north america have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Gas production per capita have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Gas production per capita compare to countries from north america have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and small Gas production per capita have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production and small Gas production per capita compare to countries from north america have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe compare to countries from north america having small Oil production and small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from europe having small Oil production and small Gas production per capita compare to countries from north america have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and small Oil production and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and small Oil production and small Gas production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe have average Coal production per capita and small Oil production and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production compare to countries from europe have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production compare to countries from europe have average Coal production per capita and small Gas production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production compare to countries from europe have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production and small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and small Gas production per capita and average Annual change in oil production compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having average Annual change in oil production compare to countries from europe have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having average Annual change in oil production compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having average Annual change in oil production have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having average Annual change in oil production compare to countries from europe have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having average Annual change in oil production have average Coal production per capita and small Oil production and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having average Annual change in oil production compare to countries from europe have average Coal production per capita and small Oil production and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production and average Annual change in oil production have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and average Annual change in oil production compare to countries from europe have average Coal production per capita and small Gas production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production and average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and average Annual change in oil production compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Gas production per capita and average Annual change in oil production have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita and average Annual change in oil production compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Gas production per capita and average Annual change in oil production have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita and average Annual change in oil production compare to countries from europe have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Gas production per capita have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Gas production per capita have average Coal production per capita and small Oil production and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have average Coal production per capita and small Oil production and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Gas production per capita have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Gas production per capita compare to countries from europe have average Coal production per capita and small Oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production and small Gas production per capita have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and small Gas production per capita compare to countries from europe have average Coal production per capita, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america compare to countries from europe having small Oil production and small Gas production per capita have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
AROUND_HALF  countries from north america having small Oil production and small Gas production per capita compare to countries from europe have average Coal production per capita and average Annual change in oil production, 0.96, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
ABOUT_2000 countries from europe have small Oil production and small Gas production per capita and average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 0.25, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from europe have small Gas production per capita and average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.61
ABOUT_2000 countries from europe have small Gas production per capita, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.62
ABOUT_2000 countries from europe have small Oil production and small Gas production per capita, 0.66, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.61
ABOUT_2000 countries from europe having small Oil production have small Gas production per capita and average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.58
ABOUT_2000 countries from europe having small Oil production have small Gas production per capita, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from europe having average Annual change in oil production have small Gas production per capita, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from europe having average Annual change in oil production have small Oil production and small Gas production per capita, 0.66, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.58
ABOUT_2000 countries from europe having small Oil production and average Annual change in oil production have small Gas production per capita, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 0.5, 0.58
ABOUT_2000 countries from europe having small Gas production per capita and average Annual change in oil production have small Oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 0.5, 0.58
ABOUT_2000 countries from europe having small Gas production per capita have average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from europe having small Gas production per capita have small Oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from europe having small Gas production per capita have small Oil production and average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.58
ABOUT_2000 countries from europe having small Oil production and small Gas production per capita have average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 0.5, 0.58
ABOUT_2000 countries from europe have small Oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.62
ABOUT_2000 countries from europe have average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.62
ABOUT_2000 countries from europe have small Oil production and average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.61
ABOUT_2000 countries from europe having small Oil production have average Annual change in oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from europe having average Annual change in oil production have small Oil production, 0.66, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.6
ABOUT_2000 countries from north america have small Oil production, 0.58, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.56
ABOUT_2000 countries from north america have average Annual change in oil production, 0.58, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.56
ABOUT_2000 countries from north america have small Oil production and average Annual change in oil production, 0.58, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.55
ABOUT_2000 countries from north america having small Oil production have average Annual change in oil production, 0.58, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.54
ABOUT_2000 countries from north america having average Annual change in oil production have small Oil production, 0.58, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.54
ABOUT_2000 countries from north america have small Gas production per capita, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.01, 0.0, 0.0, 1.0, 0.56
ABOUT_2000 countries from north america have small Oil production and small Gas production per capita, 0.57, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.54
ABOUT_2000 countries from north america having small Oil production have small Gas production per capita, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.01, 0.0, 0.0, 1.0, 0.54
ABOUT_2000 countries from north america having small Gas production per capita have small Oil production, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.01, 1.0, 0.54
ABOUT_2000 countries from north america have small Oil production and small Gas production per capita and average Annual change in oil production, 0.57, 0.0, 1.0, 0.0, 0.25, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.53
ABOUT_2000 countries from north america have small Gas production per capita and average Annual change in oil production, 0.57, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.54
ABOUT_2000 countries from north america having small Oil production have small Gas production per capita and average Annual change in oil production, 0.57, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.52
ABOUT_2000 countries from north america having average Annual change in oil production have small Gas production per capita, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.01, 0.0, 0.0, 1.0, 0.54
ABOUT_2000 countries from north america having average Annual change in oil production have small Oil production and small Gas production per capita, 0.57, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.0, 1.0, 0.52
ABOUT_2000 countries from north america having small Oil production and average Annual change in oil production have small Gas production per capita, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.01, 0.0, 0.0, 0.5, 0.52
ABOUT_2000 countries from north america having small Gas production per capita and average Annual change in oil production have small Oil production, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 0.5, 0.52
ABOUT_2000 countries from north america having small Gas production per capita have average Annual change in oil production, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.01, 1.0, 0.54
ABOUT_2000 countries from north america having small Gas production per capita have small Oil production and average Annual change in oil production, 0.57, 0.0, 1.0, 0.0, 0.5, 0.68, 0.84, 0.0, 0.0, 0.01, 1.0, 0.52
ABOUT_2000 countries from north america having small Oil production and small Gas production per capita have average Annual change in oil production, 0.57, 0.0, 1.0, 0.0, 1.0, 0.68, 0.84, 0.0, 0.0, 0.0, 0.5, 0.52
More  countries from north america compare to countries from europe have average Coal production per capita and small Gas production per capita, 0.44, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
More  countries from north america compare to countries from europe have average Coal production per capita and small Oil production and average Annual change in oil production, 0.44, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~, ~
